,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,sector,start_period1,start_period2
0,HOMICIDIO DOLOSO,C-1.1.1,0,2020-05,2021-05,0,0,36.0,REVOLUCION-ALAMEDA,2019-06,2020-06
1,HOMICIDIO DOLOSO,C-1.1.2,0,2020-05,2021-05,1,1,729.0,CORREDOR-CENTRO,2019-06,2020-06
2,HOMICIDIO DOLOSO,C-1.1.3,2,2020-05,2021-05,1,3,811.0,CORREDOR-CENTRO,2019-06,2020-06
3,HOMICIDIO DOLOSO,C-1.1.4,1,2020-05,2021-05,0,1,4116.0,MIXCALCO-HERALDO,2019-06,2020-06
4,HOMICIDIO DOLOSO,C-1.1.6,1,2020-05,2021-05,0,1,4141.0,REVOLUCION-ALAMEDA,2019-06,2020-06
5,HOMICIDIO DOLOSO,C-1.1.7,1,2020-05,2021-05,0,1,2251.0,REVOLUCION-ALAMEDA,2019-06,2020-06
6,HOMICIDIO DOLOSO,C-1.1.8,1,2020-05,2021-05,0,1,1525.0,REVOLUCION-ALAMEDA,2019-06,2020-06
7,HOMICIDIO DOLOSO,C-1.1.9,0,2020-05,2021-05,0,0,2538.0,REVOLUCION-ALAMEDA,2019-06,2020-06
8,HOMICIDIO DOLOSO,C-1.2.1,3,2020-05,2021-05,0,3,3284.0,MIXCALCO-HERALDO,2019-06,2020-06
9,HOMICIDIO DOLOSO,C-1.2.2,-3,2020-05,2021-05,6,3,5282.0,MIXCALCO-HERALDO,2019-06,2020-06
10,HOMICIDIO DOLOSO,C-1.2.3,0,2020-05,2021-05,0,0,1436.0,MIXCALCO-HERALDO,2019-06,2020-06
11,HOMICIDIO DOLOSO,C-1.2.4,-2,2020-05,2021-05,2,0,5040.0,MIXCALCO-HERALDO,2019-06,2020-06
12,HOMICIDIO DOLOSO,C-1.2.5,-1,2020-05,2021-05,1,0,5681.0,MIXCALCO-HERALDO,2019-06,2020-06
13,HOMICIDIO DOLOSO,C-1.2.6,0,2020-05,2021-05,1,1,2283.0,MIXCALCO-HERALDO,2019-06,2020-06
14,HOMICIDIO DOLOSO,C-1.2.7,0,2020-05,2021-05,2,2,7182.0,CORREDOR-CENTRO,2019-06,2020-06
15,HOMICIDIO DOLOSO,C-1.2.8,-1,2020-05,2021-05,3,2,10129.0,CORREDOR-CENTRO,2019-06,2020-06
16,HOMICIDIO DOLOSO,C-1.3.1,-1,2020-05,2021-05,1,0,3266.0,REVOLUCION-ALAMEDA,2019-06,2020-06
17,HOMICIDIO DOLOSO,C-1.3.10,1,2020-05,2021-05,1,2,892.0,ANGEL-ZONA ROSA,2019-06,2020-06
18,HOMICIDIO DOLOSO,C-1.3.11,-1,2020-05,2021-05,1,0,1490.0,ANGEL-ZONA ROSA,2019-06,2020-06
19,HOMICIDIO DOLOSO,C-1.3.12,1,2020-05,2021-05,0,1,1400.0,ANGEL-ZONA ROSA,2019-06,2020-06
20,HOMICIDIO DOLOSO,C-1.3.13,0,2020-05,2021-05,0,0,1594.0,ANGEL-ZONA ROSA,2019-06,2020-06
21,HOMICIDIO DOLOSO,C-1.3.14,0,2020-05,2021-05,1,1,2004.0,ANGEL-ZONA ROSA,2019-06,2020-06
22,HOMICIDIO DOLOSO,C-1.3.15,0,2020-05,2021-05,0,0,1413.0,ANGEL-ZONA ROSA,2019-06,2020-06
23,HOMICIDIO DOLOSO,C-1.3.16,0,2020-05,2021-05,0,0,1851.0,ANGEL-ZONA ROSA,2019-06,2020-06
24,HOMICIDIO DOLOSO,C-1.3.17,1,2020-05,2021-05,1,2,3219.0,ANGEL-ZONA ROSA,2019-06,2020-06
25,HOMICIDIO DOLOSO,C-1.3.18,-1,2020-05,2021-05,1,0,3452.0,ANGEL-ZONA ROSA,2019-06,2020-06
26,HOMICIDIO DOLOSO,C-1.3.19,0,2020-05,2021-05,0,0,4441.0,ANGEL-ZONA ROSA,2019-06,2020-06
27,HOMICIDIO DOLOSO,C-1.3.2,1,2020-05,2021-05,0,1,2507.0,REVOLUCION-ALAMEDA,2019-06,2020-06
28,HOMICIDIO DOLOSO,C-1.3.20,1,2020-05,2021-05,0,1,1929.0,ANGEL-ZONA ROSA,2019-06,2020-06
29,HOMICIDIO DOLOSO,C-1.3.3,0,2020-05,2021-05,0,0,2983.0,REVOLUCION-ALAMEDA,2019-06,2020-06
30,HOMICIDIO DOLOSO,C-1.3.4,1,2020-05,2021-05,0,1,2424.0,REVOLUCION-ALAMEDA,2019-06,2020-06
31,HOMICIDIO DOLOSO,C-1.3.5,-1,2020-05,2021-05,1,0,1860.0,REVOLUCION-ALAMEDA,2019-06,2020-06
32,HOMICIDIO DOLOSO,C-1.3.6,2,2020-05,2021-05,0,2,1407.0,REVOLUCION-ALAMEDA,2019-06,2020-06
