,count,crime,cuadrante,end_date,population,sector,start_date
0,0,HOMICIDIO DOLOSO,C-1.1.1,2021-05,36.0,REVOLUCION-ALAMEDA,2020-06
1,1,HOMICIDIO DOLOSO,C-1.1.2,2021-05,729.0,CORREDOR-CENTRO,2020-06
2,3,HOMICIDIO DOLOSO,C-1.1.3,2021-05,811.0,CORREDOR-CENTRO,2020-06
3,1,HOMICIDIO DOLOSO,C-1.1.4,2021-05,4116.0,MIXCALCO-HERALDO,2020-06
4,1,HOMICIDIO DOLOSO,C-1.1.6,2021-05,4141.0,REVOLUCION-ALAMEDA,2020-06
5,1,HOMICIDIO DOLOSO,C-1.1.7,2021-05,2251.0,REVOLUCION-ALAMEDA,2020-06
6,1,HOMICIDIO DOLOSO,C-1.1.8,2021-05,1525.0,REVOLUCION-ALAMEDA,2020-06
7,0,HOMICIDIO DOLOSO,C-1.1.9,2021-05,2538.0,REVOLUCION-ALAMEDA,2020-06
8,3,HOMICIDIO DOLOSO,C-1.2.1,2021-05,3284.0,MIXCALCO-HERALDO,2020-06
9,3,HOMICIDIO DOLOSO,C-1.2.2,2021-05,5282.0,MIXCALCO-HERALDO,2020-06
10,0,HOMICIDIO DOLOSO,C-1.2.3,2021-05,1436.0,MIXCALCO-HERALDO,2020-06
11,0,HOMICIDIO DOLOSO,C-1.2.4,2021-05,5040.0,MIXCALCO-HERALDO,2020-06
12,0,HOMICIDIO DOLOSO,C-1.2.5,2021-05,5681.0,MIXCALCO-HERALDO,2020-06
13,1,HOMICIDIO DOLOSO,C-1.2.6,2021-05,2283.0,MIXCALCO-HERALDO,2020-06
14,2,HOMICIDIO DOLOSO,C-1.2.7,2021-05,7182.0,CORREDOR-CENTRO,2020-06
15,2,HOMICIDIO DOLOSO,C-1.2.8,2021-05,10129.0,CORREDOR-CENTRO,2020-06
16,0,HOMICIDIO DOLOSO,C-1.3.1,2021-05,3266.0,REVOLUCION-ALAMEDA,2020-06
17,2,HOMICIDIO DOLOSO,C-1.3.10,2021-05,892.0,ANGEL-ZONA ROSA,2020-06
18,0,HOMICIDIO DOLOSO,C-1.3.11,2021-05,1490.0,ANGEL-ZONA ROSA,2020-06
19,1,HOMICIDIO DOLOSO,C-1.3.12,2021-05,1400.0,ANGEL-ZONA ROSA,2020-06
20,0,HOMICIDIO DOLOSO,C-1.3.13,2021-05,1594.0,ANGEL-ZONA ROSA,2020-06
21,1,HOMICIDIO DOLOSO,C-1.3.14,2021-05,2004.0,ANGEL-ZONA ROSA,2020-06
22,0,HOMICIDIO DOLOSO,C-1.3.15,2021-05,1413.0,ANGEL-ZONA ROSA,2020-06
23,0,HOMICIDIO DOLOSO,C-1.3.16,2021-05,1851.0,ANGEL-ZONA ROSA,2020-06
24,2,HOMICIDIO DOLOSO,C-1.3.17,2021-05,3219.0,ANGEL-ZONA ROSA,2020-06
25,0,HOMICIDIO DOLOSO,C-1.3.18,2021-05,3452.0,ANGEL-ZONA ROSA,2020-06
26,0,HOMICIDIO DOLOSO,C-1.3.19,2021-05,4441.0,ANGEL-ZONA ROSA,2020-06
27,1,HOMICIDIO DOLOSO,C-1.3.2,2021-05,2507.0,REVOLUCION-ALAMEDA,2020-06
28,1,HOMICIDIO DOLOSO,C-1.3.20,2021-05,1929.0,ANGEL-ZONA ROSA,2020-06
29,0,HOMICIDIO DOLOSO,C-1.3.3,2021-05,2983.0,REVOLUCION-ALAMEDA,2020-06
30,1,HOMICIDIO DOLOSO,C-1.3.4,2021-05,2424.0,REVOLUCION-ALAMEDA,2020-06
31,0,HOMICIDIO DOLOSO,C-1.3.5,2021-05,1860.0,REVOLUCION-ALAMEDA,2020-06
32,2,HOMICIDIO DOLOSO,C-1.3.6,2021-05,1407.0,REVOLUCION-ALAMEDA,2020-06
33,0,HOMICIDIO DOLOSO,C-1.3.7,2021-05,2825.0,REVOLUCION-ALAMEDA,2020-06
34,0,HOMICIDIO DOLOSO,C-1.3.8,2021-05,2154.0,REVOLUCION-ALAMEDA,2020-06
35,0,HOMICIDIO DOLOSO,C-1.3.9,2021-05,1921.0,ANGEL-ZONA ROSA,2020-06
36,0,HOMICIDIO DOLOSO,C-1.5.5,2021-05,2228.0,MIXCALCO-HERALDO,2020-06
37,1,HOMICIDIO DOLOSO,C-2.1.1,2021-05,9108.0,ASTURIAS,2020-06
38,1,HOMICIDIO DOLOSO,C-2.1.10,2021-05,9138.0,ASTURIAS,2020-06
39,1,HOMICIDIO DOLOSO,C-2.1.11,2021-05,2915.0,ASTURIAS,2020-06
40,1,HOMICIDIO DOLOSO,C-2.1.12,2021-05,7248.0,ASTURIAS,2020-06
41,1,HOMICIDIO DOLOSO,C-2.1.13,2021-05,6577.0,ASTURIAS,2020-06
42,6,HOMICIDIO DOLOSO,C-2.1.14,2021-05,9804.0,ASTURIAS,2020-06
43,0,HOMICIDIO DOLOSO,C-2.1.15,2021-05,4290.0,ASTURIAS,2020-06
44,0,HOMICIDIO DOLOSO,C-2.1.16,2021-05,5336.0,ASTURIAS,2020-06
45,1,HOMICIDIO DOLOSO,C-2.1.17,2021-05,9684.0,ASTURIAS,2020-06
46,0,HOMICIDIO DOLOSO,C-2.1.18,2021-05,4621.0,ASTURIAS,2020-06
47,2,HOMICIDIO DOLOSO,C-2.1.2,2021-05,4684.0,ASTURIAS,2020-06
48,0,HOMICIDIO DOLOSO,C-2.1.3,2021-05,8684.0,ASTURIAS,2020-06
49,0,HOMICIDIO DOLOSO,C-2.1.4,2021-05,10072.0,ASTURIAS,2020-06
50,0,HOMICIDIO DOLOSO,C-2.1.5,2021-05,2967.0,ASTURIAS,2020-06
51,2,HOMICIDIO DOLOSO,C-2.1.6,2021-05,5381.0,ASTURIAS,2020-06
52,3,HOMICIDIO DOLOSO,C-2.1.7,2021-05,8944.0,ASTURIAS,2020-06
53,0,HOMICIDIO DOLOSO,C-2.1.8,2021-05,12999.0,ASTURIAS,2020-06
54,1,HOMICIDIO DOLOSO,C-2.1.9,2021-05,4318.0,ASTURIAS,2020-06
55,0,HOMICIDIO DOLOSO,C-2.2.1,2021-05,7494.0,BUENAVISTA,2020-06
56,1,HOMICIDIO DOLOSO,C-2.2.10,2021-05,839.0,BUENAVISTA,2020-06
57,1,HOMICIDIO DOLOSO,C-2.2.11,2021-05,7260.0,BUENAVISTA,2020-06
58,1,HOMICIDIO DOLOSO,C-2.2.12,2021-05,9110.0,BUENAVISTA,2020-06
59,0,HOMICIDIO DOLOSO,C-2.2.13,2021-05,2760.0,BUENAVISTA,2020-06
60,1,HOMICIDIO DOLOSO,C-2.2.14,2021-05,4567.0,BUENAVISTA,2020-06
61,2,HOMICIDIO DOLOSO,C-2.2.15,2021-05,9075.0,BUENAVISTA,2020-06
62,0,HOMICIDIO DOLOSO,C-2.2.16,2021-05,5227.0,BUENAVISTA,2020-06
63,0,HOMICIDIO DOLOSO,C-2.2.17,2021-05,1861.0,REVOLUCION-ALAMEDA,2020-06
64,2,HOMICIDIO DOLOSO,C-2.2.18,2021-05,2479.0,REVOLUCION-ALAMEDA,2020-06
65,2,HOMICIDIO DOLOSO,C-2.2.2,2021-05,8422.0,BUENAVISTA,2020-06
66,0,HOMICIDIO DOLOSO,C-2.2.3,2021-05,4746.0,BUENAVISTA,2020-06
67,0,HOMICIDIO DOLOSO,C-2.2.4,2021-05,7555.0,BUENAVISTA,2020-06
68,0,HOMICIDIO DOLOSO,C-2.2.5,2021-05,3118.0,BUENAVISTA,2020-06
69,0,HOMICIDIO DOLOSO,C-2.2.6,2021-05,4477.0,BUENAVISTA,2020-06
70,0,HOMICIDIO DOLOSO,C-2.2.7,2021-05,5148.0,BUENAVISTA,2020-06
71,0,HOMICIDIO DOLOSO,C-2.2.8,2021-05,8037.0,BUENAVISTA,2020-06
72,0,HOMICIDIO DOLOSO,C-2.2.9,2021-05,6729.0,BUENAVISTA,2020-06
73,3,HOMICIDIO DOLOSO,C-2.3.1,2021-05,4471.0,MORELOS,2020-06
74,1,HOMICIDIO DOLOSO,C-2.3.2,2021-05,12649.0,MORELOS,2020-06
75,2,HOMICIDIO DOLOSO,C-2.3.3,2021-05,6832.0,MORELOS,2020-06
