,count,crime,dow,end_date,start_date
0,229,HOMICIDIO DOLOSO,0,2021-05,2020-06
1,138,HOMICIDIO DOLOSO,1,2021-05,2020-06
2,97,HOMICIDIO DOLOSO,2,2021-05,2020-06
3,142,HOMICIDIO DOLOSO,3,2021-05,2020-06
4,131,HOMICIDIO DOLOSO,4,2021-05,2020-06
5,165,HOMICIDIO DOLOSO,5,2021-05,2020-06
6,231,HOMICIDIO DOLOSO,6,2021-05,2020-06
7,191,LESIONES POR ARMA DE FUEGO,0,2021-05,2020-06
8,121,LESIONES POR ARMA DE FUEGO,1,2021-05,2020-06
9,105,LESIONES POR ARMA DE FUEGO,2,2021-05,2020-06
10,127,LESIONES POR ARMA DE FUEGO,3,2021-05,2020-06
11,110,LESIONES POR ARMA DE FUEGO,4,2021-05,2020-06
12,138,LESIONES POR ARMA DE FUEGO,5,2021-05,2020-06
13,191,LESIONES POR ARMA DE FUEGO,6,2021-05,2020-06
14,1,SECUESTRO,0,2021-05,2020-06
15,3,SECUESTRO,1,2021-05,2020-06
16,3,SECUESTRO,2,2021-05,2020-06
17,2,SECUESTRO,3,2021-05,2020-06
18,3,SECUESTRO,4,2021-05,2020-06
19,5,SECUESTRO,6,2021-05,2020-06
20,299,VIOLACION,0,2021-05,2020-06
21,213,VIOLACION,1,2021-05,2020-06
22,146,VIOLACION,2,2021-05,2020-06
23,183,VIOLACION,3,2021-05,2020-06
24,176,VIOLACION,4,2021-05,2020-06
25,226,VIOLACION,5,2021-05,2020-06
26,256,VIOLACION,6,2021-05,2020-06
27,39,ROBO A BORDO DE METRO S.V.,0,2021-05,2020-06
28,127,ROBO A BORDO DE METRO S.V.,1,2021-05,2020-06
29,89,ROBO A BORDO DE METRO S.V.,2,2021-05,2020-06
30,81,ROBO A BORDO DE METRO S.V.,3,2021-05,2020-06
31,87,ROBO A BORDO DE METRO S.V.,4,2021-05,2020-06
32,115,ROBO A BORDO DE METRO S.V.,5,2021-05,2020-06
33,67,ROBO A BORDO DE METRO S.V.,6,2021-05,2020-06
34,9,ROBO A BORDO DE MICROBUS S.V.,0,2021-05,2020-06
35,17,ROBO A BORDO DE MICROBUS S.V.,1,2021-05,2020-06
36,7,ROBO A BORDO DE MICROBUS S.V.,2,2021-05,2020-06
37,14,ROBO A BORDO DE MICROBUS S.V.,3,2021-05,2020-06
38,7,ROBO A BORDO DE MICROBUS S.V.,4,2021-05,2020-06
39,16,ROBO A BORDO DE MICROBUS S.V.,5,2021-05,2020-06
40,5,ROBO A BORDO DE MICROBUS S.V.,6,2021-05,2020-06
41,203,ROBO A TRANSEUNTE S.V.,0,2021-05,2020-06
42,256,ROBO A TRANSEUNTE S.V.,1,2021-05,2020-06
43,229,ROBO A TRANSEUNTE S.V.,2,2021-05,2020-06
44,254,ROBO A TRANSEUNTE S.V.,3,2021-05,2020-06
45,230,ROBO A TRANSEUNTE S.V.,4,2021-05,2020-06
46,240,ROBO A TRANSEUNTE S.V.,5,2021-05,2020-06
47,252,ROBO A TRANSEUNTE S.V.,6,2021-05,2020-06
48,2,ROBO A TRANSPORTISTA S.V.,1,2021-05,2020-06
49,1,ROBO A TRANSPORTISTA S.V.,2,2021-05,2020-06
50,1,ROBO A TRANSPORTISTA S.V.,3,2021-05,2020-06
51,1,ROBO A TRANSPORTISTA S.V.,5,2021-05,2020-06
52,1,ROBO A TRANSPORTISTA S.V.,6,2021-05,2020-06
53,433,ROBO A NEGOCIO C.V.,0,2021-05,2020-06
54,423,ROBO A NEGOCIO C.V.,1,2021-05,2020-06
55,451,ROBO A NEGOCIO C.V.,2,2021-05,2020-06
56,449,ROBO A NEGOCIO C.V.,3,2021-05,2020-06
57,444,ROBO A NEGOCIO C.V.,4,2021-05,2020-06
58,411,ROBO A NEGOCIO C.V.,5,2021-05,2020-06
59,394,ROBO A NEGOCIO C.V.,6,2021-05,2020-06
60,50,ROBO A REPARTIDOR C.V.,0,2021-05,2020-06
61,272,ROBO A REPARTIDOR C.V.,1,2021-05,2020-06
62,337,ROBO A REPARTIDOR C.V.,2,2021-05,2020-06
63,299,ROBO A REPARTIDOR C.V.,3,2021-05,2020-06
64,264,ROBO A REPARTIDOR C.V.,4,2021-05,2020-06
65,284,ROBO A REPARTIDOR C.V.,5,2021-05,2020-06
66,228,ROBO A REPARTIDOR C.V.,6,2021-05,2020-06
67,13,ROBO A REPARTIDOR S.V.,0,2021-05,2020-06
68,89,ROBO A REPARTIDOR S.V.,1,2021-05,2020-06
69,105,ROBO A REPARTIDOR S.V.,2,2021-05,2020-06
70,95,ROBO A REPARTIDOR S.V.,3,2021-05,2020-06
71,102,ROBO A REPARTIDOR S.V.,4,2021-05,2020-06
72,90,ROBO A REPARTIDOR S.V.,5,2021-05,2020-06
73,58,ROBO A REPARTIDOR S.V.,6,2021-05,2020-06
74,271,ROBO DE VEHICULO AUTOMOTOR C.V.,0,2021-05,2020-06
75,378,ROBO DE VEHICULO AUTOMOTOR C.V.,1,2021-05,2020-06
76,475,ROBO DE VEHICULO AUTOMOTOR C.V.,2,2021-05,2020-06
77,472,ROBO DE VEHICULO AUTOMOTOR C.V.,3,2021-05,2020-06
78,436,ROBO DE VEHICULO AUTOMOTOR C.V.,4,2021-05,2020-06
79,463,ROBO DE VEHICULO AUTOMOTOR C.V.,5,2021-05,2020-06
80,350,ROBO DE VEHICULO AUTOMOTOR C.V.,6,2021-05,2020-06
81,17,ROBO A BORDO DE MICROBUS C.V.,0,2021-05,2020-06
82,51,ROBO A BORDO DE MICROBUS C.V.,1,2021-05,2020-06
83,59,ROBO A BORDO DE MICROBUS C.V.,2,2021-05,2020-06
84,58,ROBO A BORDO DE MICROBUS C.V.,3,2021-05,2020-06
85,60,ROBO A BORDO DE MICROBUS C.V.,4,2021-05,2020-06
86,38,ROBO A BORDO DE MICROBUS C.V.,5,2021-05,2020-06
87,27,ROBO A BORDO DE MICROBUS C.V.,6,2021-05,2020-06
88,26,ROBO A BORDO DE TAXI C.V.,0,2021-05,2020-06
89,24,ROBO A BORDO DE TAXI C.V.,1,2021-05,2020-06
90,21,ROBO A BORDO DE TAXI C.V.,2,2021-05,2020-06
91,24,ROBO A BORDO DE TAXI C.V.,3,2021-05,2020-06
92,35,ROBO A BORDO DE TAXI C.V.,4,2021-05,2020-06
93,30,ROBO A BORDO DE TAXI C.V.,5,2021-05,2020-06
94,24,ROBO A BORDO DE TAXI C.V.,6,2021-05,2020-06
95,71,ROBO A CASA HABITACION C.V.,0,2021-05,2020-06
96,76,ROBO A CASA HABITACION C.V.,1,2021-05,2020-06
97,75,ROBO A CASA HABITACION C.V.,2,2021-05,2020-06
98,103,ROBO A CASA HABITACION C.V.,3,2021-05,2020-06
99,103,ROBO A CASA HABITACION C.V.,4,2021-05,2020-06
100,91,ROBO A CASA HABITACION C.V.,5,2021-05,2020-06
101,80,ROBO A CASA HABITACION C.V.,6,2021-05,2020-06
102,887,ROBO A TRANSEUNTE C.V.,0,2021-05,2020-06
103,1308,ROBO A TRANSEUNTE C.V.,1,2021-05,2020-06
104,1216,ROBO A TRANSEUNTE C.V.,2,2021-05,2020-06
105,1278,ROBO A TRANSEUNTE C.V.,3,2021-05,2020-06
106,1328,ROBO A TRANSEUNTE C.V.,4,2021-05,2020-06
107,1296,ROBO A TRANSEUNTE C.V.,5,2021-05,2020-06
108,1129,ROBO A TRANSEUNTE C.V.,6,2021-05,2020-06
109,2,ROBO A TRANSPORTISTA C.V.,0,2021-05,2020-06
110,18,ROBO A TRANSPORTISTA C.V.,1,2021-05,2020-06
111,18,ROBO A TRANSPORTISTA C.V.,2,2021-05,2020-06
112,17,ROBO A TRANSPORTISTA C.V.,3,2021-05,2020-06
113,20,ROBO A TRANSPORTISTA C.V.,4,2021-05,2020-06
114,14,ROBO A TRANSPORTISTA C.V.,5,2021-05,2020-06
115,6,ROBO A TRANSPORTISTA C.V.,6,2021-05,2020-06
116,4,ROBO A BORDO DE METRO C.V.,0,2021-05,2020-06
117,13,ROBO A BORDO DE METRO C.V.,1,2021-05,2020-06
118,7,ROBO A BORDO DE METRO C.V.,2,2021-05,2020-06
119,10,ROBO A BORDO DE METRO C.V.,3,2021-05,2020-06
120,10,ROBO A BORDO DE METRO C.V.,4,2021-05,2020-06
121,17,ROBO A BORDO DE METRO C.V.,5,2021-05,2020-06
122,6,ROBO A BORDO DE METRO C.V.,6,2021-05,2020-06
123,15,ROBO A CUENTAHABIENTE C.V.,0,2021-05,2020-06
124,55,ROBO A CUENTAHABIENTE C.V.,1,2021-05,2020-06
125,61,ROBO A CUENTAHABIENTE C.V.,2,2021-05,2020-06
126,66,ROBO A CUENTAHABIENTE C.V.,3,2021-05,2020-06
127,64,ROBO A CUENTAHABIENTE C.V.,4,2021-05,2020-06
128,72,ROBO A CUENTAHABIENTE C.V.,5,2021-05,2020-06
129,33,ROBO A CUENTAHABIENTE C.V.,6,2021-05,2020-06
130,793,ROBO DE VEHICULO AUTOMOTOR S.V.,0,2021-05,2020-06
131,780,ROBO DE VEHICULO AUTOMOTOR S.V.,1,2021-05,2020-06
132,870,ROBO DE VEHICULO AUTOMOTOR S.V.,2,2021-05,2020-06
133,918,ROBO DE VEHICULO AUTOMOTOR S.V.,3,2021-05,2020-06
134,847,ROBO DE VEHICULO AUTOMOTOR S.V.,4,2021-05,2020-06
135,940,ROBO DE VEHICULO AUTOMOTOR S.V.,5,2021-05,2020-06
136,826,ROBO DE VEHICULO AUTOMOTOR S.V.,6,2021-05,2020-06
