,count,crime,end_date,hour,start_date
0,43,ROBO A NEGOCIO C.V.,2021-05,00,2020-06
1,39,ROBO A NEGOCIO C.V.,2021-05,01,2020-06
2,45,ROBO A NEGOCIO C.V.,2021-05,02,2020-06
3,37,ROBO A NEGOCIO C.V.,2021-05,03,2020-06
4,38,ROBO A NEGOCIO C.V.,2021-05,04,2020-06
5,33,ROBO A NEGOCIO C.V.,2021-05,05,2020-06
6,86,ROBO A NEGOCIO C.V.,2021-05,06,2020-06
7,92,ROBO A NEGOCIO C.V.,2021-05,07,2020-06
8,67,ROBO A NEGOCIO C.V.,2021-05,08,2020-06
9,95,ROBO A NEGOCIO C.V.,2021-05,09,2020-06
10,108,ROBO A NEGOCIO C.V.,2021-05,10,2020-06
11,120,ROBO A NEGOCIO C.V.,2021-05,11,2020-06
12,112,ROBO A NEGOCIO C.V.,2021-05,12,2020-06
13,114,ROBO A NEGOCIO C.V.,2021-05,13,2020-06
14,139,ROBO A NEGOCIO C.V.,2021-05,14,2020-06
15,160,ROBO A NEGOCIO C.V.,2021-05,15,2020-06
16,142,ROBO A NEGOCIO C.V.,2021-05,16,2020-06
17,199,ROBO A NEGOCIO C.V.,2021-05,17,2020-06
18,236,ROBO A NEGOCIO C.V.,2021-05,18,2020-06
19,288,ROBO A NEGOCIO C.V.,2021-05,19,2020-06
20,296,ROBO A NEGOCIO C.V.,2021-05,20,2020-06
21,284,ROBO A NEGOCIO C.V.,2021-05,21,2020-06
22,145,ROBO A NEGOCIO C.V.,2021-05,22,2020-06
23,87,ROBO A NEGOCIO C.V.,2021-05,23,2020-06
24,65,HOMICIDIO DOLOSO,2021-05,00,2020-06
25,45,HOMICIDIO DOLOSO,2021-05,01,2020-06
26,50,HOMICIDIO DOLOSO,2021-05,02,2020-06
27,39,HOMICIDIO DOLOSO,2021-05,03,2020-06
28,31,HOMICIDIO DOLOSO,2021-05,04,2020-06
29,24,HOMICIDIO DOLOSO,2021-05,05,2020-06
30,33,HOMICIDIO DOLOSO,2021-05,06,2020-06
31,42,HOMICIDIO DOLOSO,2021-05,07,2020-06
32,30,HOMICIDIO DOLOSO,2021-05,08,2020-06
33,36,HOMICIDIO DOLOSO,2021-05,09,2020-06
34,37,HOMICIDIO DOLOSO,2021-05,10,2020-06
35,35,HOMICIDIO DOLOSO,2021-05,11,2020-06
36,24,HOMICIDIO DOLOSO,2021-05,12,2020-06
37,36,HOMICIDIO DOLOSO,2021-05,13,2020-06
38,38,HOMICIDIO DOLOSO,2021-05,14,2020-06
39,46,HOMICIDIO DOLOSO,2021-05,15,2020-06
40,35,HOMICIDIO DOLOSO,2021-05,16,2020-06
41,48,HOMICIDIO DOLOSO,2021-05,17,2020-06
42,49,HOMICIDIO DOLOSO,2021-05,18,2020-06
43,58,HOMICIDIO DOLOSO,2021-05,19,2020-06
44,74,HOMICIDIO DOLOSO,2021-05,20,2020-06
45,100,HOMICIDIO DOLOSO,2021-05,21,2020-06
46,80,HOMICIDIO DOLOSO,2021-05,22,2020-06
47,78,HOMICIDIO DOLOSO,2021-05,23,2020-06
48,16,ROBO A CASA HABITACION C.V.,2021-05,00,2020-06
49,18,ROBO A CASA HABITACION C.V.,2021-05,01,2020-06
50,32,ROBO A CASA HABITACION C.V.,2021-05,02,2020-06
51,16,ROBO A CASA HABITACION C.V.,2021-05,03,2020-06
52,17,ROBO A CASA HABITACION C.V.,2021-05,04,2020-06
53,10,ROBO A CASA HABITACION C.V.,2021-05,05,2020-06
54,11,ROBO A CASA HABITACION C.V.,2021-05,06,2020-06
55,13,ROBO A CASA HABITACION C.V.,2021-05,07,2020-06
56,18,ROBO A CASA HABITACION C.V.,2021-05,08,2020-06
57,26,ROBO A CASA HABITACION C.V.,2021-05,09,2020-06
58,31,ROBO A CASA HABITACION C.V.,2021-05,10,2020-06
59,27,ROBO A CASA HABITACION C.V.,2021-05,11,2020-06
60,34,ROBO A CASA HABITACION C.V.,2021-05,12,2020-06
61,23,ROBO A CASA HABITACION C.V.,2021-05,13,2020-06
62,26,ROBO A CASA HABITACION C.V.,2021-05,14,2020-06
63,25,ROBO A CASA HABITACION C.V.,2021-05,15,2020-06
64,23,ROBO A CASA HABITACION C.V.,2021-05,16,2020-06
65,16,ROBO A CASA HABITACION C.V.,2021-05,17,2020-06
66,26,ROBO A CASA HABITACION C.V.,2021-05,18,2020-06
67,31,ROBO A CASA HABITACION C.V.,2021-05,19,2020-06
68,42,ROBO A CASA HABITACION C.V.,2021-05,20,2020-06
69,46,ROBO A CASA HABITACION C.V.,2021-05,21,2020-06
70,38,ROBO A CASA HABITACION C.V.,2021-05,22,2020-06
71,34,ROBO A CASA HABITACION C.V.,2021-05,23,2020-06
72,86,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,00,2020-06
73,66,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,01,2020-06
74,45,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,02,2020-06
75,33,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,03,2020-06
76,33,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,04,2020-06
77,128,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,05,2020-06
78,140,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,06,2020-06
79,74,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,07,2020-06
80,69,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,08,2020-06
81,49,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,09,2020-06
82,55,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,10,2020-06
83,60,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,11,2020-06
84,77,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,12,2020-06
85,68,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,13,2020-06
86,95,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,14,2020-06
87,93,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,15,2020-06
88,115,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,16,2020-06
89,142,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,17,2020-06
90,133,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,18,2020-06
91,208,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,19,2020-06
92,309,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,20,2020-06
93,318,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,21,2020-06
94,257,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,22,2020-06
95,192,ROBO DE VEHICULO AUTOMOTOR C.V.,2021-05,23,2020-06
96,73,VIOLACION,2021-05,00,2020-06
97,80,VIOLACION,2021-05,01,2020-06
98,70,VIOLACION,2021-05,02,2020-06
99,63,VIOLACION,2021-05,03,2020-06
100,66,VIOLACION,2021-05,04,2020-06
101,64,VIOLACION,2021-05,05,2020-06
102,40,VIOLACION,2021-05,06,2020-06
103,29,VIOLACION,2021-05,07,2020-06
104,40,VIOLACION,2021-05,08,2020-06
105,39,VIOLACION,2021-05,09,2020-06
106,81,VIOLACION,2021-05,10,2020-06
107,43,VIOLACION,2021-05,11,2020-06
108,83,VIOLACION,2021-05,12,2020-06
109,41,VIOLACION,2021-05,13,2020-06
110,50,VIOLACION,2021-05,14,2020-06
111,48,VIOLACION,2021-05,15,2020-06
112,58,VIOLACION,2021-05,16,2020-06
113,65,VIOLACION,2021-05,17,2020-06
114,81,VIOLACION,2021-05,18,2020-06
115,72,VIOLACION,2021-05,19,2020-06
116,84,VIOLACION,2021-05,20,2020-06
117,65,VIOLACION,2021-05,21,2020-06
118,89,VIOLACION,2021-05,22,2020-06
119,75,VIOLACION,2021-05,23,2020-06
120,71,LESIONES POR ARMA DE FUEGO,2021-05,00,2020-06
121,54,LESIONES POR ARMA DE FUEGO,2021-05,01,2020-06
122,44,LESIONES POR ARMA DE FUEGO,2021-05,02,2020-06
123,46,LESIONES POR ARMA DE FUEGO,2021-05,03,2020-06
124,28,LESIONES POR ARMA DE FUEGO,2021-05,04,2020-06
125,27,LESIONES POR ARMA DE FUEGO,2021-05,05,2020-06
126,29,LESIONES POR ARMA DE FUEGO,2021-05,06,2020-06
127,30,LESIONES POR ARMA DE FUEGO,2021-05,07,2020-06
128,20,LESIONES POR ARMA DE FUEGO,2021-05,08,2020-06
129,14,LESIONES POR ARMA DE FUEGO,2021-05,09,2020-06
130,25,LESIONES POR ARMA DE FUEGO,2021-05,10,2020-06
131,28,LESIONES POR ARMA DE FUEGO,2021-05,11,2020-06
132,29,LESIONES POR ARMA DE FUEGO,2021-05,12,2020-06
133,27,LESIONES POR ARMA DE FUEGO,2021-05,13,2020-06
134,33,LESIONES POR ARMA DE FUEGO,2021-05,14,2020-06
