,count,crime,date,population
0,145,HOMICIDIO DOLOSO,2019-01,8785911
1,121,HOMICIDIO DOLOSO,2019-02,8785911
2,163,HOMICIDIO DOLOSO,2019-03,8785911
3,126,HOMICIDIO DOLOSO,2019-04,8785911
4,170,HOMICIDIO DOLOSO,2019-05,8785911
5,131,HOMICIDIO DOLOSO,2019-06,8785911
6,118,HOMICIDIO DOLOSO,2019-07,8785911
7,100,HOMICIDIO DOLOSO,2019-08,8785911
8,107,HOMICIDIO DOLOSO,2019-09,8785911
9,105,HOMICIDIO DOLOSO,2019-10,8785911
10,115,HOMICIDIO DOLOSO,2019-11,8785911
11,115,HOMICIDIO DOLOSO,2019-12,8785911
12,110,HOMICIDIO DOLOSO,2020-01,8785911
13,115,HOMICIDIO DOLOSO,2020-02,8785911
14,124,HOMICIDIO DOLOSO,2020-03,8785911
15,124,HOMICIDIO DOLOSO,2020-04,8785911
16,107,HOMICIDIO DOLOSO,2020-05,8785911
17,106,HOMICIDIO DOLOSO,2020-06,8785911
18,99,HOMICIDIO DOLOSO,2020-07,8785911
19,81,HOMICIDIO DOLOSO,2020-08,8785911
20,84,HOMICIDIO DOLOSO,2020-09,8785911
21,107,HOMICIDIO DOLOSO,2020-10,8785911
22,93,HOMICIDIO DOLOSO,2020-11,8785911
23,100,HOMICIDIO DOLOSO,2020-12,8785911
24,86,HOMICIDIO DOLOSO,2021-01,8785911
25,86,HOMICIDIO DOLOSO,2021-02,8785911
26,101,HOMICIDIO DOLOSO,2021-03,8785911
27,84,HOMICIDIO DOLOSO,2021-04,8785911
28,106,HOMICIDIO DOLOSO,2021-05,8785911
29,154,LESIONES POR ARMA DE FUEGO,2019-01,8785911
30,144,LESIONES POR ARMA DE FUEGO,2019-02,8785911
31,155,LESIONES POR ARMA DE FUEGO,2019-03,8785911
32,161,LESIONES POR ARMA DE FUEGO,2019-04,8785911
33,150,LESIONES POR ARMA DE FUEGO,2019-05,8785911
34,118,LESIONES POR ARMA DE FUEGO,2019-06,8785911
35,115,LESIONES POR ARMA DE FUEGO,2019-07,8785911
36,115,LESIONES POR ARMA DE FUEGO,2019-08,8785911
37,133,LESIONES POR ARMA DE FUEGO,2019-09,8785911
38,127,LESIONES POR ARMA DE FUEGO,2019-10,8785911
39,126,LESIONES POR ARMA DE FUEGO,2019-11,8785911
40,106,LESIONES POR ARMA DE FUEGO,2019-12,8785911
41,85,LESIONES POR ARMA DE FUEGO,2020-01,8785911
42,70,LESIONES POR ARMA DE FUEGO,2020-02,8785911
43,107,LESIONES POR ARMA DE FUEGO,2020-03,8785911
44,90,LESIONES POR ARMA DE FUEGO,2020-04,8785911
45,94,LESIONES POR ARMA DE FUEGO,2020-05,8785911
46,82,LESIONES POR ARMA DE FUEGO,2020-06,8785911
47,91,LESIONES POR ARMA DE FUEGO,2020-07,8785911
48,95,LESIONES POR ARMA DE FUEGO,2020-08,8785911
49,79,LESIONES POR ARMA DE FUEGO,2020-09,8785911
50,83,LESIONES POR ARMA DE FUEGO,2020-10,8785911
51,66,LESIONES POR ARMA DE FUEGO,2020-11,8785911
52,88,LESIONES POR ARMA DE FUEGO,2020-12,8785911
53,71,LESIONES POR ARMA DE FUEGO,2021-01,8785911
54,71,LESIONES POR ARMA DE FUEGO,2021-02,8785911
55,75,LESIONES POR ARMA DE FUEGO,2021-03,8785911
56,91,LESIONES POR ARMA DE FUEGO,2021-04,8785911
57,91,LESIONES POR ARMA DE FUEGO,2021-05,8785911
58,33,ROBO A BORDO DE METRO C.V.,2019-01,8785911
59,42,ROBO A BORDO DE METRO C.V.,2019-02,8785911
60,40,ROBO A BORDO DE METRO C.V.,2019-03,8785911
61,35,ROBO A BORDO DE METRO C.V.,2019-04,8785911
62,41,ROBO A BORDO DE METRO C.V.,2019-05,8785911
63,32,ROBO A BORDO DE METRO C.V.,2019-06,8785911
64,34,ROBO A BORDO DE METRO C.V.,2019-07,8785911
65,23,ROBO A BORDO DE METRO C.V.,2019-08,8785911
66,32,ROBO A BORDO DE METRO C.V.,2019-09,8785911
67,24,ROBO A BORDO DE METRO C.V.,2019-10,8785911
68,23,ROBO A BORDO DE METRO C.V.,2019-11,8785911
69,22,ROBO A BORDO DE METRO C.V.,2019-12,8785911
70,23,ROBO A BORDO DE METRO C.V.,2020-01,8785911
71,14,ROBO A BORDO DE METRO C.V.,2020-02,8785911
72,15,ROBO A BORDO DE METRO C.V.,2020-03,8785911
73,2,ROBO A BORDO DE METRO C.V.,2020-04,8785911
74,2,ROBO A BORDO DE METRO C.V.,2020-05,8785911
75,5,ROBO A BORDO DE METRO C.V.,2020-06,8785911
76,5,ROBO A BORDO DE METRO C.V.,2020-07,8785911
77,10,ROBO A BORDO DE METRO C.V.,2020-08,8785911
78,8,ROBO A BORDO DE METRO C.V.,2020-09,8785911
79,6,ROBO A BORDO DE METRO C.V.,2020-10,8785911
80,9,ROBO A BORDO DE METRO C.V.,2020-11,8785911
81,10,ROBO A BORDO DE METRO C.V.,2020-12,8785911
82,3,ROBO A BORDO DE METRO C.V.,2021-01,8785911
83,5,ROBO A BORDO DE METRO C.V.,2021-02,8785911
84,4,ROBO A BORDO DE METRO C.V.,2021-03,8785911
85,0,ROBO A BORDO DE METRO C.V.,2021-04,8785911
86,2,ROBO A BORDO DE METRO C.V.,2021-05,8785911
87,295,ROBO A BORDO DE METRO S.V.,2019-01,8785911
88,334,ROBO A BORDO DE METRO S.V.,2019-02,8785911
89,299,ROBO A BORDO DE METRO S.V.,2019-03,8785911
90,277,ROBO A BORDO DE METRO S.V.,2019-04,8785911
91,269,ROBO A BORDO DE METRO S.V.,2019-05,8785911
92,195,ROBO A BORDO DE METRO S.V.,2019-06,8785911
93,154,ROBO A BORDO DE METRO S.V.,2019-07,8785911
94,119,ROBO A BORDO DE METRO S.V.,2019-08,8785911
95,114,ROBO A BORDO DE METRO S.V.,2019-09,8785911
96,127,ROBO A BORDO DE METRO S.V.,2019-10,8785911
97,104,ROBO A BORDO DE METRO S.V.,2019-11,8785911
98,102,ROBO A BORDO DE METRO S.V.,2019-12,8785911
99,99,ROBO A BORDO DE METRO S.V.,2020-01,8785911
