,count,crime,end_date,population,sector,start_date
0,23,HOMICIDIO DOLOSO,2021-05,171082.0,ABASTO-REFORMA,2020-06
1,9,HOMICIDIO DOLOSO,2021-05,190052.0,ALPES,2020-06
2,7,HOMICIDIO DOLOSO,2021-05,25606.0,ANGEL-ZONA ROSA,2020-06
3,19,HOMICIDIO DOLOSO,2021-05,147265.0,ARAGON,2020-06
4,6,HOMICIDIO DOLOSO,2021-05,76922.0,ARENAL,2020-06
5,20,HOMICIDIO DOLOSO,2021-05,126770.0,ASTURIAS,2020-06
6,8,HOMICIDIO DOLOSO,2021-05,94564.0,BUENAVISTA,2020-06
7,3,HOMICIDIO DOLOSO,2021-05,44719.0,CHAPULTEPEC,2020-06
8,17,HOMICIDIO DOLOSO,2021-05,117997.0,CHURUBUSCO,2020-06
9,10,HOMICIDIO DOLOSO,2021-05,144779.0,CLAVERIA,2020-06
10,3,HOMICIDIO DOLOSO,2021-05,93641.0,COAPA,2020-06
11,18,HOMICIDIO DOLOSO,2021-05,33787.0,CONGRESO,2020-06
12,27,HOMICIDIO DOLOSO,2021-05,67697.0,CONSULADO,2020-06
13,8,HOMICIDIO DOLOSO,2021-05,18851.0,CORREDOR-CENTRO,2020-06
14,0,HOMICIDIO DOLOSO,2021-05,65669.0,COYOACAN,2020-06
15,3,HOMICIDIO DOLOSO,2021-05,101270.0,CUAJIMALPA,2020-06
16,41,HOMICIDIO DOLOSO,2021-05,280497.0,CUAUTEPEC,2020-06
17,9,HOMICIDIO DOLOSO,2021-05,93702.0,CUCHILLA,2020-06
18,6,HOMICIDIO DOLOSO,2021-05,70802.0,CUITLAHUAC,2020-06
19,9,HOMICIDIO DOLOSO,2021-05,150082.0,CULHUACAN,2020-06
20,0,HOMICIDIO DOLOSO,2021-05,83772.0,DEL VALLE,2020-06
21,4,HOMICIDIO DOLOSO,2021-05,94133.0,DINAMO,2020-06
22,8,HOMICIDIO DOLOSO,2021-05,80579.0,EL YAQUI,2020-06
23,22,HOMICIDIO DOLOSO,2021-05,177825.0,ESTRELLA,2020-06
24,49,HOMICIDIO DOLOSO,2021-05,187026.0,FUENTE,2020-06
25,7,HOMICIDIO DOLOSO,2021-05,95686.0,GRANJAS,2020-06
26,16,HOMICIDIO DOLOSO,2021-05,136444.0,HORMIGA,2020-06
27,21,HOMICIDIO DOLOSO,2021-05,174817.0,HUIPULCO-HOSPITALES,2020-06
28,13,HOMICIDIO DOLOSO,2021-05,110025.0,IZTACCIHUATL,2020-06
29,16,HOMICIDIO DOLOSO,2021-05,166805.0,LA NORIA,2020-06
30,16,HOMICIDIO DOLOSO,2021-05,62180.0,LA RAZA,2020-06
31,17,HOMICIDIO DOLOSO,2021-05,92638.0,LINDAVISTA,2020-06
32,10,HOMICIDIO DOLOSO,2021-05,96937.0,MERCED-BALBUENA,2020-06
33,7,HOMICIDIO DOLOSO,2021-05,64875.0,MILPA ALTA,2020-06
34,8,HOMICIDIO DOLOSO,2021-05,29350.0,MIXCALCO-HERALDO,2020-06
35,22,HOMICIDIO DOLOSO,2021-05,160243.0,MIXQUIC,2020-06
36,16,HOMICIDIO DOLOSO,2021-05,121359.0,MOCTEZUMA,2020-06
37,19,HOMICIDIO DOLOSO,2021-05,35662.0,MORELOS,2020-06
38,5,HOMICIDIO DOLOSO,2021-05,67270.0,NAPOLES,2020-06
39,7,HOMICIDIO DOLOSO,2021-05,113877.0,NARVARTE-ALAMOS,2020-06
40,1,HOMICIDIO DOLOSO,2021-05,42255.0,NATIVITAS,2020-06
41,135,HOMICIDIO DOLOSO,2021-05,,NO ESPECIFICADO,2020-06
42,32,HOMICIDIO DOLOSO,2021-05,218084.0,OASIS,2020-06
43,20,HOMICIDIO DOLOSO,2021-05,177697.0,PADIERNA,2020-06
44,13,HOMICIDIO DOLOSO,2021-05,150298.0,PANTITLAN,2020-06
45,29,HOMICIDIO DOLOSO,2021-05,263257.0,PLATEROS,2020-06
46,0,HOMICIDIO DOLOSO,2021-05,37779.0,POLANCO-CASTILLO,2020-06
47,1,HOMICIDIO DOLOSO,2021-05,78265.0,PORTALES,2020-06
48,22,HOMICIDIO DOLOSO,2021-05,207608.0,PRADERA,2020-06
49,27,HOMICIDIO DOLOSO,2021-05,278219.0,QUETZAL,2020-06
50,19,HOMICIDIO DOLOSO,2021-05,151888.0,QUIROGA,2020-06
51,9,HOMICIDIO DOLOSO,2021-05,34257.0,REVOLUCION-ALAMEDA,2020-06
52,3,HOMICIDIO DOLOSO,2021-05,70434.0,ROMA,2020-06
53,3,HOMICIDIO DOLOSO,2021-05,47620.0,SAN ANGEL,2020-06
54,11,HOMICIDIO DOLOSO,2021-05,140415.0,SAN JERONIMO,2020-06
55,30,HOMICIDIO DOLOSO,2021-05,193642.0,SANTA CRUZ,2020-06
56,21,HOMICIDIO DOLOSO,2021-05,227160.0,SANTA FE,2020-06
57,9,HOMICIDIO DOLOSO,2021-05,61100.0,SOTELO,2020-06
58,15,HOMICIDIO DOLOSO,2021-05,155668.0,TACUBA,2020-06
59,10,HOMICIDIO DOLOSO,2021-05,73623.0,TACUBAYA,2020-06
60,10,HOMICIDIO DOLOSO,2021-05,115941.0,TAXQUEÑA,2020-06
61,2,HOMICIDIO DOLOSO,2021-05,43804.0,TECOMITL,2020-06
62,18,HOMICIDIO DOLOSO,2021-05,270493.0,TEOTONGO,2020-06
63,29,HOMICIDIO DOLOSO,2021-05,256237.0,TEPEPAN,2020-06
64,6,HOMICIDIO DOLOSO,2021-05,69778.0,TEPEYAC,2020-06
65,48,HOMICIDIO DOLOSO,2021-05,295459.0,TEZONCO,2020-06
66,15,HOMICIDIO DOLOSO,2021-05,128951.0,TICOMAN,2020-06
67,13,HOMICIDIO DOLOSO,2021-05,124003.0,TLACOTAL,2020-06
68,13,HOMICIDIO DOLOSO,2021-05,96337.0,TLATELOLCO,2020-06
69,6,HOMICIDIO DOLOSO,2021-05,130167.0,UNIVERSIDAD,2020-06
