,count,crime,date,population,sector
0,3,HOMICIDIO DOLOSO,2019-01,171082.0,ABASTO-REFORMA
1,1,HOMICIDIO DOLOSO,2019-02,171082.0,ABASTO-REFORMA
2,0,HOMICIDIO DOLOSO,2019-03,171082.0,ABASTO-REFORMA
3,1,HOMICIDIO DOLOSO,2019-04,171082.0,ABASTO-REFORMA
4,3,HOMICIDIO DOLOSO,2019-05,171082.0,ABASTO-REFORMA
5,2,HOMICIDIO DOLOSO,2019-06,171082.0,ABASTO-REFORMA
6,3,HOMICIDIO DOLOSO,2019-07,171082.0,ABASTO-REFORMA
7,2,HOMICIDIO DOLOSO,2019-08,171082.0,ABASTO-REFORMA
8,3,HOMICIDIO DOLOSO,2019-09,171082.0,ABASTO-REFORMA
9,3,HOMICIDIO DOLOSO,2019-10,171082.0,ABASTO-REFORMA
10,3,HOMICIDIO DOLOSO,2019-11,171082.0,ABASTO-REFORMA
11,2,HOMICIDIO DOLOSO,2019-12,171082.0,ABASTO-REFORMA
12,3,HOMICIDIO DOLOSO,2020-01,171082.0,ABASTO-REFORMA
13,2,HOMICIDIO DOLOSO,2020-02,171082.0,ABASTO-REFORMA
14,1,HOMICIDIO DOLOSO,2020-03,171082.0,ABASTO-REFORMA
15,5,HOMICIDIO DOLOSO,2020-04,171082.0,ABASTO-REFORMA
16,0,HOMICIDIO DOLOSO,2020-05,171082.0,ABASTO-REFORMA
17,3,HOMICIDIO DOLOSO,2020-06,171082.0,ABASTO-REFORMA
18,4,HOMICIDIO DOLOSO,2020-07,171082.0,ABASTO-REFORMA
19,4,HOMICIDIO DOLOSO,2020-08,171082.0,ABASTO-REFORMA
20,3,HOMICIDIO DOLOSO,2020-09,171082.0,ABASTO-REFORMA
21,2,HOMICIDIO DOLOSO,2020-10,171082.0,ABASTO-REFORMA
22,2,HOMICIDIO DOLOSO,2020-11,171082.0,ABASTO-REFORMA
23,1,HOMICIDIO DOLOSO,2020-12,171082.0,ABASTO-REFORMA
24,1,HOMICIDIO DOLOSO,2021-01,171082.0,ABASTO-REFORMA
25,0,HOMICIDIO DOLOSO,2021-02,171082.0,ABASTO-REFORMA
26,2,HOMICIDIO DOLOSO,2021-03,171082.0,ABASTO-REFORMA
27,1,HOMICIDIO DOLOSO,2021-04,171082.0,ABASTO-REFORMA
28,0,HOMICIDIO DOLOSO,2021-05,171082.0,ABASTO-REFORMA
29,2,LESIONES POR ARMA DE FUEGO,2019-01,171082.0,ABASTO-REFORMA
30,2,LESIONES POR ARMA DE FUEGO,2019-02,171082.0,ABASTO-REFORMA
31,0,LESIONES POR ARMA DE FUEGO,2019-03,171082.0,ABASTO-REFORMA
32,1,LESIONES POR ARMA DE FUEGO,2019-04,171082.0,ABASTO-REFORMA
33,2,LESIONES POR ARMA DE FUEGO,2019-05,171082.0,ABASTO-REFORMA
34,0,LESIONES POR ARMA DE FUEGO,2019-06,171082.0,ABASTO-REFORMA
35,3,LESIONES POR ARMA DE FUEGO,2019-07,171082.0,ABASTO-REFORMA
36,2,LESIONES POR ARMA DE FUEGO,2019-08,171082.0,ABASTO-REFORMA
37,4,LESIONES POR ARMA DE FUEGO,2019-09,171082.0,ABASTO-REFORMA
38,2,LESIONES POR ARMA DE FUEGO,2019-10,171082.0,ABASTO-REFORMA
39,1,LESIONES POR ARMA DE FUEGO,2019-11,171082.0,ABASTO-REFORMA
40,1,LESIONES POR ARMA DE FUEGO,2019-12,171082.0,ABASTO-REFORMA
41,4,LESIONES POR ARMA DE FUEGO,2020-01,171082.0,ABASTO-REFORMA
42,0,LESIONES POR ARMA DE FUEGO,2020-02,171082.0,ABASTO-REFORMA
43,4,LESIONES POR ARMA DE FUEGO,2020-03,171082.0,ABASTO-REFORMA
44,3,LESIONES POR ARMA DE FUEGO,2020-04,171082.0,ABASTO-REFORMA
45,3,LESIONES POR ARMA DE FUEGO,2020-05,171082.0,ABASTO-REFORMA
46,1,LESIONES POR ARMA DE FUEGO,2020-06,171082.0,ABASTO-REFORMA
47,2,LESIONES POR ARMA DE FUEGO,2020-07,171082.0,ABASTO-REFORMA
48,4,LESIONES POR ARMA DE FUEGO,2020-08,171082.0,ABASTO-REFORMA
49,1,LESIONES POR ARMA DE FUEGO,2020-09,171082.0,ABASTO-REFORMA
50,4,LESIONES POR ARMA DE FUEGO,2020-10,171082.0,ABASTO-REFORMA
51,2,LESIONES POR ARMA DE FUEGO,2020-11,171082.0,ABASTO-REFORMA
52,1,LESIONES POR ARMA DE FUEGO,2020-12,171082.0,ABASTO-REFORMA
53,0,LESIONES POR ARMA DE FUEGO,2021-01,171082.0,ABASTO-REFORMA
54,1,LESIONES POR ARMA DE FUEGO,2021-02,171082.0,ABASTO-REFORMA
55,3,LESIONES POR ARMA DE FUEGO,2021-03,171082.0,ABASTO-REFORMA
56,3,LESIONES POR ARMA DE FUEGO,2021-04,171082.0,ABASTO-REFORMA
57,0,LESIONES POR ARMA DE FUEGO,2021-05,171082.0,ABASTO-REFORMA
58,0,ROBO A BORDO DE METRO C.V.,2019-01,171082.0,ABASTO-REFORMA
59,0,ROBO A BORDO DE METRO C.V.,2019-02,171082.0,ABASTO-REFORMA
60,0,ROBO A BORDO DE METRO C.V.,2019-03,171082.0,ABASTO-REFORMA
61,0,ROBO A BORDO DE METRO C.V.,2019-04,171082.0,ABASTO-REFORMA
62,0,ROBO A BORDO DE METRO C.V.,2019-05,171082.0,ABASTO-REFORMA
63,0,ROBO A BORDO DE METRO C.V.,2019-06,171082.0,ABASTO-REFORMA
64,0,ROBO A BORDO DE METRO C.V.,2019-07,171082.0,ABASTO-REFORMA
65,0,ROBO A BORDO DE METRO C.V.,2019-08,171082.0,ABASTO-REFORMA
66,0,ROBO A BORDO DE METRO C.V.,2019-09,171082.0,ABASTO-REFORMA
67,0,ROBO A BORDO DE METRO C.V.,2019-10,171082.0,ABASTO-REFORMA
68,0,ROBO A BORDO DE METRO C.V.,2019-11,171082.0,ABASTO-REFORMA
69,0,ROBO A BORDO DE METRO C.V.,2019-12,171082.0,ABASTO-REFORMA
70,0,ROBO A BORDO DE METRO C.V.,2020-01,171082.0,ABASTO-REFORMA
71,0,ROBO A BORDO DE METRO C.V.,2020-02,171082.0,ABASTO-REFORMA
72,2,ROBO A BORDO DE METRO C.V.,2020-03,171082.0,ABASTO-REFORMA
73,0,ROBO A BORDO DE METRO C.V.,2020-04,171082.0,ABASTO-REFORMA
74,0,ROBO A BORDO DE METRO C.V.,2020-05,171082.0,ABASTO-REFORMA
75,0,ROBO A BORDO DE METRO C.V.,2020-06,171082.0,ABASTO-REFORMA
76,0,ROBO A BORDO DE METRO C.V.,2020-07,171082.0,ABASTO-REFORMA
77,0,ROBO A BORDO DE METRO C.V.,2020-08,171082.0,ABASTO-REFORMA
78,0,ROBO A BORDO DE METRO C.V.,2020-09,171082.0,ABASTO-REFORMA
