,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,rank,sector,start_period1,start_period2
0,HOMICIDIO DOLOSO,N-4.5.1,7,2020-05,2021-05,4,11,14443.0,1,CONSULADO,2019-06,2020-06
1,HOMICIDIO DOLOSO,O-2.1.19,6,2020-05,2021-05,0,6,18396.0,2,OASIS,2019-06,2020-06
2,HOMICIDIO DOLOSO,O-2.5.8,6,2020-05,2021-05,4,10,32571.0,2,TEZONCO,2019-06,2020-06
3,HOMICIDIO DOLOSO,S-3.4.2,6,2020-05,2021-05,9,15,38354.0,2,FUENTE,2019-06,2020-06
4,HOMICIDIO DOLOSO,O-2.3.12,5,2020-05,2021-05,5,10,13439.0,5,SANTA CRUZ,2019-06,2020-06
5,HOMICIDIO DOLOSO,P-1.2.4,5,2020-05,2021-05,3,8,43264.0,5,PLATEROS,2019-06,2020-06
6,LESIONES POR ARMA DE FUEGO,N-4.4.3,6,2020-05,2021-05,1,7,12135.0,1,CONGRESO,2019-06,2020-06
7,LESIONES POR ARMA DE FUEGO,O-2.2.13,6,2020-05,2021-05,0,6,15047.0,1,QUETZAL,2019-06,2020-06
8,LESIONES POR ARMA DE FUEGO,O-2.5.8,5,2020-05,2021-05,1,6,32571.0,3,TEZONCO,2019-06,2020-06
9,LESIONES POR ARMA DE FUEGO,N-2.1.1,4,2020-05,2021-05,3,7,30506.0,4,ARAGON,2019-06,2020-06
10,LESIONES POR ARMA DE FUEGO,N-2.3.4,4,2020-05,2021-05,0,4,11936.0,4,PRADERA,2019-06,2020-06
11,LESIONES POR ARMA DE FUEGO,O-2.5.10,4,2020-05,2021-05,1,5,25684.0,4,TEZONCO,2019-06,2020-06
12,LESIONES POR ARMA DE FUEGO,O-2.5.11,4,2020-05,2021-05,2,6,29794.0,4,TEZONCO,2019-06,2020-06
13,LESIONES POR ARMA DE FUEGO,P-1.2.1,4,2020-05,2021-05,0,4,9798.0,4,PLATEROS,2019-06,2020-06
14,LESIONES POR ARMA DE FUEGO,P-3.4.11,4,2020-05,2021-05,1,5,15552.0,4,TACUBA,2019-06,2020-06
15,ROBO A BORDO DE METRO C.V.,N-1.2.8,3,2020-05,2021-05,0,3,4937.0,1,LINDAVISTA,2019-06,2020-06
16,ROBO A BORDO DE METRO C.V.,C-2.1.18,2,2020-05,2021-05,0,2,4621.0,2,ASTURIAS,2019-06,2020-06
17,ROBO A BORDO DE METRO C.V.,C-2.1.2,2,2020-05,2021-05,0,2,4684.0,2,ASTURIAS,2019-06,2020-06
18,ROBO A BORDO DE METRO C.V.,C-2.1.9,2,2020-05,2021-05,0,2,4318.0,2,ASTURIAS,2019-06,2020-06
19,ROBO A BORDO DE METRO C.V.,C-1.5.5,1,2020-05,2021-05,0,1,2228.0,5,MIXCALCO-HERALDO,2019-06,2020-06
20,ROBO A BORDO DE METRO C.V.,C-2.2.8,1,2020-05,2021-05,0,1,8037.0,5,BUENAVISTA,2019-06,2020-06
21,ROBO A BORDO DE METRO C.V.,N-1.2.17,1,2020-05,2021-05,0,1,10830.0,5,LINDAVISTA,2019-06,2020-06
22,ROBO A BORDO DE METRO C.V.,N-2.2.3,1,2020-05,2021-05,0,1,14307.0,5,CUCHILLA,2019-06,2020-06
23,ROBO A BORDO DE METRO C.V.,N-2.4.6,1,2020-05,2021-05,0,1,30408.0,5,QUIROGA,2019-06,2020-06
24,ROBO A BORDO DE METRO C.V.,N-3.1.6,1,2020-05,2021-05,0,1,16512.0,5,IZTACCIHUATL,2019-06,2020-06
25,ROBO A BORDO DE METRO C.V.,N-3.2.1,1,2020-05,2021-05,7,8,7668.0,5,PANTITLAN,2019-06,2020-06
26,ROBO A BORDO DE METRO C.V.,N-4.3.1,1,2020-05,2021-05,0,1,9916.0,5,MERCED-BALBUENA,2019-06,2020-06
27,ROBO A BORDO DE METRO C.V.,N-4.4.6,1,2020-05,2021-05,0,1,7687.0,5,CONGRESO,2019-06,2020-06
28,ROBO A BORDO DE METRO C.V.,N-4.6.9,1,2020-05,2021-05,1,2,12102.0,5,MOCTEZUMA,2019-06,2020-06
29,ROBO A BORDO DE METRO C.V.,O-1.4.1,1,2020-05,2021-05,0,1,22009.0,5,ESTRELLA,2019-06,2020-06
30,ROBO A BORDO DE METRO C.V.,P-2.3.6,1,2020-05,2021-05,0,1,11217.0,5,HORMIGA,2019-06,2020-06
31,ROBO A BORDO DE METRO C.V.,P-3.5.9,1,2020-05,2021-05,1,2,8447.0,5,TACUBAYA,2019-06,2020-06
32,ROBO A BORDO DE METRO C.V.,S-1.1.13,1,2020-05,2021-05,0,1,8848.0,5,NARVARTE-ALAMOS,2019-06,2020-06
33,ROBO A BORDO DE METRO C.V.,S-1.2.14,1,2020-05,2021-05,0,1,4924.0,5,DEL VALLE,2019-06,2020-06
34,ROBO A BORDO DE METRO C.V.,S-1.5.6,1,2020-05,2021-05,0,1,12243.0,5,PORTALES,2019-06,2020-06
35,ROBO A BORDO DE METRO S.V.,N-4.7.5,4,2020-05,2021-05,0,4,1740.0,1,ZARAGOZA,2019-06,2020-06
36,ROBO A BORDO DE METRO S.V.,N-1.2.13,3,2020-05,2021-05,1,4,5496.0,2,LINDAVISTA,2019-06,2020-06
37,ROBO A BORDO DE METRO S.V.,N-1.2.2,3,2020-05,2021-05,8,11,33.0,2,LINDAVISTA,2019-06,2020-06
38,ROBO A BORDO DE METRO S.V.,O-2.5.1,3,2020-05,2021-05,5,8,22652.0,2,TEZONCO,2019-06,2020-06
39,ROBO A BORDO DE METRO S.V.,S-2.4.14,3,2020-05,2021-05,3,6,7113.0,2,UNIVERSIDAD,2019-06,2020-06
40,ROBO A BORDO DE MICROBUS C.V.,N-3.2.4,4,2020-05,2021-05,0,4,12225.0,1,PANTITLAN,2019-06,2020-06
41,ROBO A BORDO DE MICROBUS C.V.,O-1.2.7,3,2020-05,2021-05,0,3,8860.0,2,ABASTO-REFORMA,2019-06,2020-06
42,ROBO A BORDO DE MICROBUS C.V.,O-3.4.6,3,2020-05,2021-05,0,3,31280.0,2,ZAPOTITLA,2019-06,2020-06
43,ROBO A BORDO DE MICROBUS C.V.,O-3.4.9,3,2020-05,2021-05,0,3,18181.0,2,ZAPOTITLA,2019-06,2020-06
44,ROBO A BORDO DE MICROBUS C.V.,N-1.3.11,2,2020-05,2021-05,0,2,7695.0,5,TICOMAN,2019-06,2020-06
45,ROBO A BORDO DE MICROBUS C.V.,N-2.1.8,2,2020-05,2021-05,1,3,13596.0,5,ARAGON,2019-06,2020-06
46,ROBO A BORDO DE MICROBUS C.V.,N-4.3.2,2,2020-05,2021-05,0,2,6463.0,5,MERCED-BALBUENA,2019-06,2020-06
47,ROBO A BORDO DE MICROBUS C.V.,N-4.3.4,2,2020-05,2021-05,0,2,7676.0,5,MERCED-BALBUENA,2019-06,2020-06
48,ROBO A BORDO DE MICROBUS C.V.,O-1.3.8,2,2020-05,2021-05,0,2,9964.0,5,CHURUBUSCO,2019-06,2020-06
49,ROBO A BORDO DE MICROBUS C.V.,O-1.4.5,2,2020-05,2021-05,0,2,17803.0,5,ESTRELLA,2019-06,2020-06
50,ROBO A BORDO DE MICROBUS C.V.,O-3.6.6,2,2020-05,2021-05,3,5,28515.0,5,TEPEPAN,2019-06,2020-06
51,ROBO A BORDO DE MICROBUS C.V.,P-1.4.7,2,2020-05,2021-05,0,2,3496.0,5,SAN ANGEL,2019-06,2020-06
52,ROBO A BORDO DE MICROBUS C.V.,P-2.1.10,2,2020-05,2021-05,0,2,19092.0,5,CLAVERIA,2019-06,2020-06
53,ROBO A BORDO DE MICROBUS C.V.,P-3.4.1,2,2020-05,2021-05,0,2,2089.0,5,TACUBA,2019-06,2020-06
54,ROBO A BORDO DE MICROBUS C.V.,P-3.5.2,2,2020-05,2021-05,0,2,1009.0,5,TACUBAYA,2019-06,2020-06
55,ROBO A BORDO DE MICROBUS C.V.,S-1.3.10,2,2020-05,2021-05,0,2,4050.0,5,NAPOLES,2019-06,2020-06
56,ROBO A BORDO DE MICROBUS C.V.,S-2.3.17,2,2020-05,2021-05,0,2,10291.0,5,TAXQUEÑA,2019-06,2020-06
57,ROBO A BORDO DE MICROBUS S.V.,N-1.1.21,2,2020-05,2021-05,0,2,10921.0,1,CUAUTEPEC,2019-06,2020-06
58,ROBO A BORDO DE MICROBUS S.V.,O-1.5.9,2,2020-05,2021-05,0,2,4382.0,1,GRANJAS,2019-06,2020-06
59,ROBO A BORDO DE MICROBUS S.V.,O-2.5.3,2,2020-05,2021-05,0,2,20163.0,1,TEZONCO,2019-06,2020-06
60,ROBO A BORDO DE MICROBUS S.V.,P-1.2.3,2,2020-05,2021-05,0,2,31166.0,1,PLATEROS,2019-06,2020-06
61,ROBO A BORDO DE MICROBUS S.V.,P-1.4.8,2,2020-05,2021-05,1,3,651.0,1,SAN ANGEL,2019-06,2020-06
62,ROBO A BORDO DE MICROBUS S.V.,P-3.3.3,2,2020-05,2021-05,0,2,1739.0,1,SOTELO,2019-06,2020-06
63,ROBO A BORDO DE MICROBUS S.V.,S-2.3.5,2,2020-05,2021-05,1,3,3719.0,1,TAXQUEÑA,2019-06,2020-06
