,count,crime,cuadrante,end_period,population,rank,sector,start_period
0,135,HOMICIDIO DOLOSO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
1,17,HOMICIDIO DOLOSO,S-3.4.10,2021-05,25784.0,2,FUENTE,2020-06
2,15,HOMICIDIO DOLOSO,S-3.4.2,2021-05,38354.0,3,FUENTE,2020-06
3,11,HOMICIDIO DOLOSO,N-4.5.1,2021-05,14443.0,4,CONSULADO,2020-06
4,10,HOMICIDIO DOLOSO,O-2.3.12,2021-05,13439.0,5,SANTA CRUZ,2020-06
5,10,HOMICIDIO DOLOSO,O-2.5.8,2021-05,32571.0,5,TEZONCO,2020-06
6,411,LESIONES POR ARMA DE FUEGO,(NO ESPECIFICADO),2021-05,,1,NO ESPECIFICADO,2020-06
7,9,LESIONES POR ARMA DE FUEGO,P-1.2.6,2021-05,45966.0,2,PLATEROS,2020-06
8,7,LESIONES POR ARMA DE FUEGO,N-2.1.1,2021-05,30506.0,3,ARAGON,2020-06
9,7,LESIONES POR ARMA DE FUEGO,N-4.4.3,2021-05,12135.0,3,CONGRESO,2020-06
10,6,LESIONES POR ARMA DE FUEGO,C-2.1.14,2021-05,9804.0,5,ASTURIAS,2020-06
11,6,LESIONES POR ARMA DE FUEGO,N-4.5.2,2021-05,11376.0,5,CONSULADO,2020-06
12,6,LESIONES POR ARMA DE FUEGO,O-2.2.13,2021-05,15047.0,5,QUETZAL,2020-06
13,6,LESIONES POR ARMA DE FUEGO,O-2.5.11,2021-05,29794.0,5,TEZONCO,2020-06
14,6,LESIONES POR ARMA DE FUEGO,O-2.5.8,2021-05,32571.0,5,TEZONCO,2020-06
15,8,ROBO A BORDO DE METRO C.V.,N-3.2.1,2021-05,7668.0,1,PANTITLAN,2020-06
16,3,ROBO A BORDO DE METRO C.V.,N-1.2.8,2021-05,4937.0,2,LINDAVISTA,2020-06
17,2,ROBO A BORDO DE METRO C.V.,C-2.1.18,2021-05,4621.0,3,ASTURIAS,2020-06
18,2,ROBO A BORDO DE METRO C.V.,C-2.1.2,2021-05,4684.0,3,ASTURIAS,2020-06
19,2,ROBO A BORDO DE METRO C.V.,C-2.1.9,2021-05,4318.0,3,ASTURIAS,2020-06
20,2,ROBO A BORDO DE METRO C.V.,N-4.2.4,2021-05,9589.0,3,ARENAL,2020-06
