,count,crime,end_date,population,rank,rate,sector,start_date
0,19,HOMICIDIO DOLOSO,2021-05,35662,1,53.3,MORELOS,2020-06
1,18,HOMICIDIO DOLOSO,2021-05,33787,2,53.3,CONGRESO,2020-06
2,8,HOMICIDIO DOLOSO,2021-05,18851,3,42.4,CORREDOR-CENTRO,2020-06
3,27,HOMICIDIO DOLOSO,2021-05,67697,4,39.9,CONSULADO,2020-06
4,7,HOMICIDIO DOLOSO,2021-05,25606,5,27.3,ANGEL-ZONA ROSA,2020-06
5,10,LESIONES POR ARMA DE FUEGO,2021-05,33787,1,29.6,CONGRESO,2020-06
6,28,LESIONES POR ARMA DE FUEGO,2021-05,147265,2,19.0,ARAGON,2020-06
7,5,LESIONES POR ARMA DE FUEGO,2021-05,29350,3,17.0,MIXCALCO-HERALDO,2020-06
8,11,LESIONES POR ARMA DE FUEGO,2021-05,67697,4,16.2,CONSULADO,2020-06
9,3,LESIONES POR ARMA DE FUEGO,2021-05,18851,5,15.9,CORREDOR-CENTRO,2020-06
10,5,ROBO A BORDO DE METRO C.V.,2021-05,33787,1,14.8,CONGRESO,2020-06
11,3,ROBO A BORDO DE METRO C.V.,2021-05,29350,2,10.2,MIXCALCO-HERALDO,2020-06
12,3,ROBO A BORDO DE METRO C.V.,2021-05,34257,3,8.8,REVOLUCION-ALAMEDA,2020-06
13,6,ROBO A BORDO DE METRO C.V.,2021-05,96937,4,6.2,MERCED-BALBUENA,2020-06
14,2,ROBO A BORDO DE METRO C.V.,2021-05,34276,5,5.8,ZARAGOZA,2020-06
15,53,ROBO A BORDO DE METRO S.V.,2021-05,34257,1,154.7,REVOLUCION-ALAMEDA,2020-06
16,41,ROBO A BORDO DE METRO S.V.,2021-05,33787,2,121.3,CONGRESO,2020-06
17,23,ROBO A BORDO DE METRO S.V.,2021-05,29350,3,78.4,MIXCALCO-HERALDO,2020-06
18,11,ROBO A BORDO DE METRO S.V.,2021-05,18851,4,58.4,CORREDOR-CENTRO,2020-06
19,42,ROBO A BORDO DE METRO S.V.,2021-05,76922,5,54.6,ARENAL,2020-06
20,17,ROBO A BORDO DE MICROBUS C.V.,2021-05,124003,1,13.7,TLACOTAL,2020-06
21,18,ROBO A BORDO DE MICROBUS C.V.,2021-05,150298,2,12.0,PANTITLAN,2020-06
22,4,ROBO A BORDO DE MICROBUS C.V.,2021-05,34276,3,11.7,ZARAGOZA,2020-06
23,23,ROBO A BORDO DE MICROBUS C.V.,2021-05,218084,4,10.5,OASIS,2020-06
24,3,ROBO A BORDO DE MICROBUS C.V.,2021-05,34257,5,8.8,REVOLUCION-ALAMEDA,2020-06
25,5,ROBO A BORDO DE MICROBUS S.V.,2021-05,47620,1,10.5,SAN ANGEL,2020-06
26,3,ROBO A BORDO DE MICROBUS S.V.,2021-05,61100,2,4.9,SOTELO,2020-06
27,2,ROBO A BORDO DE MICROBUS S.V.,2021-05,42255,3,4.7,NATIVITAS,2020-06
28,4,ROBO A BORDO DE MICROBUS S.V.,2021-05,115941,4,3.5,TAXQUEÑA,2020-06
